"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 18:23:08 GMT 2021","Sun Aug 08 18:23:14 GMT 2021","5562","test","test_01_02_managing_cookies","TestCookies","","","test_declining_cookies",""
"passed","Sun Aug 08 18:23:24 GMT 2021","Sun Aug 08 18:23:27 GMT 2021","2625","test","test_03_04_signing_up","TestSignUp","","","test_sign_up_with_noncomplying_password",""
"passed","Sun Aug 08 18:23:16 GMT 2021","Sun Aug 08 18:23:22 GMT 2021","5571","test","test_01_02_managing_cookies","TestCookies","","","test_accepting_cookies",""
"passed","Sun Aug 08 18:23:29 GMT 2021","Sun Aug 08 18:23:36 GMT 2021","6446","test","test_03_04_signing_up","TestSignUp","","","test_sign_up_with_complying_password",""
