"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 18:49:48 GMT 2021","Sun Aug 08 18:49:54 GMT 2021","6479","test","test_03_04_signing_up","TestSignUp","","","test_sign_up_with_complying_password",""
"passed","Sun Aug 08 18:50:02 GMT 2021","Sun Aug 08 18:50:04 GMT 2021","2346","test","test_05_06_signing_in","TestSignIn","","","test_sign_in_with_correct_password",""
"passed","Sun Aug 08 18:50:06 GMT 2021","Sun Aug 08 18:50:06 GMT 2021","709","test","test_07_logging_out","TestLogout","","","test_logout",""
"passed","Sun Aug 08 18:50:14 GMT 2021","Sun Aug 08 18:50:15 GMT 2021","923","test","test_08_09_changing_the_settings","TestChangeSettings","","","test_add_biography",""
"passed","Sun Aug 08 18:50:10 GMT 2021","Sun Aug 08 18:50:11 GMT 2021","954","test","test_08_09_changing_the_settings","TestChangeSettings","","","test_change_username",""
"passed","Sun Aug 08 18:49:35 GMT 2021","Sun Aug 08 18:49:41 GMT 2021","5599","test","test_01_02_managing_cookies","TestCookies","","","test_accepting_cookies",""
"passed","Sun Aug 08 18:49:27 GMT 2021","Sun Aug 08 18:49:33 GMT 2021","5628","test","test_01_02_managing_cookies","TestCookies","","","test_declining_cookies",""
"passed","Sun Aug 08 18:49:43 GMT 2021","Sun Aug 08 18:49:46 GMT 2021","2590","test","test_03_04_signing_up","TestSignUp","","","test_sign_up_with_noncomplying_password",""
"passed","Sun Aug 08 18:49:57 GMT 2021","Sun Aug 08 18:49:59 GMT 2021","2374","test","test_05_06_signing_in","TestSignIn","","","test_sign_in_with_wrong_password",""
